filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
firmware/src/deluge/model/midi/message.cpp,21,21,1.0,34,30,0.882,1,1,1.0
firmware/src/deluge/model/midi/message.h,25,25,1.0,0,0,,10,10,1.0
firmware/src/deluge/model/mod_controllable/filters/filter_config.cpp,8,8,1.0,0,0,,4,4,1.0
firmware/src/deluge/model/mod_controllable/filters/filter_config.h,32,32,1.0,8,7,0.875,2,2,1.0
firmware/src/deluge/model/mod_controllable/mod_controllable.cpp,14,11,0.7859999999999999,0,0,,5,4,0.8
firmware/src/deluge/model/mod_controllable/mod_controllable.h,18,2,0.111,0,0,,12,2,0.16699999999999998
firmware/src/deluge/model/mod_controllable/ModFXProcessor.cpp,385,273,0.7090000000000001,139,70,0.504,28,23,0.821
firmware/src/deluge/model/mod_controllable/ModFXProcessor.h,12,11,0.917,2,1,0.5,3,3,1.0
firmware/src/deluge/model/model_stack.h,65,60,0.9229999999999999,4,2,0.5,22,21,0.955
firmware/src/deluge/model/note/copied_note_row.cpp,10,9,0.9,2,1,0.5,2,2,1.0
firmware/src/deluge/model/note/note.cpp,2,2,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/note/note.h,13,13,1.0,4,4,1.0,13,13,1.0
firmware/src/deluge/model/note/note_row_vector.cpp,28,27,0.9640000000000001,20,14,0.7,6,6,1.0
firmware/src/deluge/model/note/note_vector.cpp,8,8,1.0,8,7,0.875,3,3,1.0
firmware/src/deluge/model/positionable.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/sample/sample_cluster.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/sample/sample_cluster_array.cpp,13,12,0.9229999999999999,10,6,0.6,3,3,1.0
firmware/src/deluge/model/sample/sample_controls.cpp,19,19,1.0,8,8,1.0,3,3,1.0
firmware/src/deluge/model/sample/sample_holder.h,1,0,0.0,0,0,,1,0,0.0
firmware/src/deluge/model/sample/sample_perc_cache_zone.cpp,11,0,0.0,0,0,,2,0,0.0
firmware/src/deluge/model/sample/sample_playback_guide.h,5,0,0.0,0,0,,4,0,0.0
firmware/src/deluge/model/scale/musical_key.cpp,8,8,1.0,0,0,,3,3,1.0
firmware/src/deluge/model/scale/note_set.cpp,115,93,0.809,84,55,0.655,13,11,0.846
firmware/src/deluge/model/scale/note_set.h,14,12,0.857,0,0,,14,12,0.857
firmware/src/deluge/model/scale/preset_scales.cpp,40,40,1.0,30,30,1.0,6,6,1.0
firmware/src/deluge/model/scale/scale_change.cpp,7,7,1.0,6,5,0.833,1,1,1.0
firmware/src/deluge/model/scale/scale_change.h,1,1,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/scale/scale_mapper.cpp,71,70,0.986,60,44,0.733,7,7,1.0
firmware/src/deluge/model/scale/utils.cpp,2,2,1.0,0,0,,1,1,1.0
firmware/src/deluge/model/song/clip_iterators.cpp,56,56,1.0,34,25,0.735,16,16,1.0
firmware/src/deluge/model/song/clip_iterators.h,6,6,1.0,6,5,0.833,5,5,1.0
firmware/src/deluge/model/sync.cpp,56,53,0.946,40,30,0.75,6,6,1.0
firmware/src/deluge/model/time_signature.h,7,7,1.0,8,8,1.0,4,4,1.0
firmware/src/deluge/model/timeline_counter.cpp,3,2,0.667,0,0,,2,2,1.0
firmware/src/deluge/model/timeline_counter.h,3,0,0.0,0,0,,2,0,0.0
firmware/src/deluge/modulation/automation/auto_param.h,3,3,1.0,0,0,,3,3,1.0
firmware/src/deluge/modulation/envelope.cpp,97,85,0.8759999999999999,34,23,0.6759999999999999,10,9,0.9
firmware/src/deluge/modulation/knob.h,5,2,0.4,4,0,0.0,5,2,0.4
